Training started for model: VanillaLSTM(
  (embedding): Embedding(83334, 100)
  (lstm): LSTM(100, 64, batch_first=True)
  (dropout_layer): Dropout(p=0.3, inplace=False)
  (attention): BahdanauAttention(
    (W_enc): Linear(in_features=64, out_features=32, bias=False)
    (W_dec): Linear(in_features=64, out_features=32, bias=False)
    (v): Linear(in_features=32, out_features=1, bias=False)
  )
  (fc): Linear(in_features=128, out_features=2, bias=True)
)
Epoch [1/10] | Train Loss: 0.4715 | Train Accuracy: 75.34%

Epoch [1/10] | Val Loss: 0.3045 | Val Accuracy: 87.38%
Precision: 0.8801 | Recall: 0.8738 | F1 Score: 0.8733
Epoch [2/10] | Train Loss: 0.2536 | Train Accuracy: 89.81%

Epoch [2/10] | Val Loss: 0.2530 | Val Accuracy: 89.62%
Precision: 0.8995 | Recall: 0.8962 | F1 Score: 0.8960
Epoch [3/10] | Train Loss: 0.1854 | Train Accuracy: 92.81%

Epoch [3/10] | Val Loss: 0.2804 | Val Accuracy: 88.14%
Precision: 0.8922 | Recall: 0.8814 | F1 Score: 0.8806
Epoch [4/10] | Train Loss: 0.1332 | Train Accuracy: 95.17%

Epoch [4/10] | Val Loss: 0.2442 | Val Accuracy: 90.70%
Precision: 0.9070 | Recall: 0.9070 | F1 Score: 0.9070
Epoch [5/10] | Train Loss: 0.0905 | Train Accuracy: 96.97%

Epoch [5/10] | Val Loss: 0.2979 | Val Accuracy: 89.70%
Precision: 0.8992 | Recall: 0.8970 | F1 Score: 0.8969
Epoch [6/10] | Train Loss: 0.0712 | Train Accuracy: 97.60%

Epoch [6/10] | Val Loss: 0.3130 | Val Accuracy: 89.96%
Precision: 0.9000 | Recall: 0.8996 | F1 Score: 0.8996
