Training started for model: VanillaLSTM(
  (embedding): Embedding(83334, 100)
  (lstm): LSTM(100, 64, batch_first=True)
  (dropout_layer): Dropout(p=0.3, inplace=False)
  (attention): LuongGeneralAttention(
    (W): Linear(in_features=64, out_features=64, bias=False)
  )
  (fc): Linear(in_features=128, out_features=2, bias=True)
)
Epoch [1/10] | Train Loss: 0.4503 | Train Accuracy: 77.41%

Epoch [1/10] | Val Loss: 0.2808 | Val Accuracy: 88.96%
Precision: 0.8901 | Recall: 0.8896 | F1 Score: 0.8896
Epoch [2/10] | Train Loss: 0.2629 | Train Accuracy: 89.36%

Epoch [2/10] | Val Loss: 0.2720 | Val Accuracy: 88.66%
Precision: 0.8923 | Recall: 0.8866 | F1 Score: 0.8862
Epoch [3/10] | Train Loss: 0.2003 | Train Accuracy: 92.21%

Epoch [3/10] | Val Loss: 0.2318 | Val Accuracy: 90.90%
Precision: 0.9092 | Recall: 0.9090 | F1 Score: 0.9090
Epoch [4/10] | Train Loss: 0.1509 | Train Accuracy: 94.46%

Epoch [4/10] | Val Loss: 0.2272 | Val Accuracy: 91.12%
Precision: 0.9114 | Recall: 0.9112 | F1 Score: 0.9112
Epoch [5/10] | Train Loss: 0.1085 | Train Accuracy: 96.14%

Epoch [5/10] | Val Loss: 0.2694 | Val Accuracy: 90.52%
Precision: 0.9056 | Recall: 0.9052 | F1 Score: 0.9052
Epoch [6/10] | Train Loss: 0.0809 | Train Accuracy: 97.17%

Epoch [6/10] | Val Loss: 0.3041 | Val Accuracy: 90.44%
Precision: 0.9047 | Recall: 0.9044 | F1 Score: 0.9044
